"ind.code","ind.name","year","variable","value"
"10-12","Manufacture of food and tobacco products",1997,"gva_prchange",NA
"10-12","Manufacture of food and tobacco products",1998,"gva_prchange",-0.0426693950227911
"10-12","Manufacture of food and tobacco products",1999,"gva_prchange",0.0703668257705966
"10-12","Manufacture of food and tobacco products",2000,"gva_prchange",-0.0466965076596186
"10-12","Manufacture of food and tobacco products",2001,"gva_prchange",0.0414744760573312
"10-12","Manufacture of food and tobacco products",2002,"gva_prchange",0.0632402778195921
"10-12","Manufacture of food and tobacco products",2003,"gva_prchange",-0.00616695927270908
"10-12","Manufacture of food and tobacco products",2004,"gva_prchange",0.00487117725842039
"10-12","Manufacture of food and tobacco products",2005,"gva_prchange",0.0303931051212673
"10-12","Manufacture of food and tobacco products",2006,"gva_prchange",0.024655584205853
"10-12","Manufacture of food and tobacco products",2007,"gva_prchange",0.0249476013372021
"10-12","Manufacture of food and tobacco products",2008,"gva_prchange",0.0760695643068297
"10-12","Manufacture of food and tobacco products",2009,"gva_prchange",0.00121191131321996
"10-12","Manufacture of food and tobacco products",2010,"gva_prchange",0.0480087642026181
"10-12","Manufacture of food and tobacco products",2011,"gva_prchange",0.114185983280072
"10-12","Manufacture of food and tobacco products",2012,"gva_prchange",-0.0180679502026562
"10-12","Manufacture of food and tobacco products",2013,"gva_prchange",-0.00224854835055245
"10-12","Manufacture of food and tobacco products",2014,"gva_prchange",-0.0213425583747727
"10-12","Manufacture of food and tobacco products",2015,"gva_prchange",-0.0210826253616461
"10-12","Manufacture of food and tobacco products",2016,"gva_prchange",0.0571617889331091
"10-12","Manufacture of food and tobacco products",2017,"gva_prchange",0.0370391562878947
"10-12","Manufacture of food and tobacco products",2018,"gva_prchange",-0.0662606085669143
"10-12","Manufacture of food and tobacco products",2019,"gva_prchange",0.0232721769573911
"13-15","Manufacture of textiles and apparel",1997,"gva_prchange",NA
"13-15","Manufacture of textiles and apparel",1998,"gva_prchange",-0.0214856044323633
"13-15","Manufacture of textiles and apparel",1999,"gva_prchange",-0.138508456124784
"13-15","Manufacture of textiles and apparel",2000,"gva_prchange",-0.0276689337788054
"13-15","Manufacture of textiles and apparel",2001,"gva_prchange",0.0120388519412752
"13-15","Manufacture of textiles and apparel",2002,"gva_prchange",-0.106314688563054
"13-15","Manufacture of textiles and apparel",2003,"gva_prchange",-0.0443717483937277
"13-15","Manufacture of textiles and apparel",2004,"gva_prchange",-0.00049364173845297
"13-15","Manufacture of textiles and apparel",2005,"gva_prchange",-0.0112596178116355
"13-15","Manufacture of textiles and apparel",2006,"gva_prchange",0.043353806970846
"13-15","Manufacture of textiles and apparel",2007,"gva_prchange",0.053614200243631
"13-15","Manufacture of textiles and apparel",2008,"gva_prchange",0.0463075524333744
"13-15","Manufacture of textiles and apparel",2009,"gva_prchange",-0.164827187601907
"13-15","Manufacture of textiles and apparel",2010,"gva_prchange",0.0951895937863679
"13-15","Manufacture of textiles and apparel",2011,"gva_prchange",0.00863500055835393
"13-15","Manufacture of textiles and apparel",2012,"gva_prchange",-0.068309641973167
"13-15","Manufacture of textiles and apparel",2013,"gva_prchange",-0.0111737681068668
"13-15","Manufacture of textiles and apparel",2014,"gva_prchange",0.0129633070062001
"13-15","Manufacture of textiles and apparel",2015,"gva_prchange",-0.0447369390561061
"13-15","Manufacture of textiles and apparel",2016,"gva_prchange",-0.0334670496431759
"13-15","Manufacture of textiles and apparel",2017,"gva_prchange",0.00498171024321678
"13-15","Manufacture of textiles and apparel",2018,"gva_prchange",0.0532930187684669
"13-15","Manufacture of textiles and apparel",2019,"gva_prchange",-0.0385687453241185
"16","Manufacture of wood and of products of wood and cork, except furniture",1997,"gva_prchange",NA
"16","Manufacture of wood and of products of wood and cork, except furniture",1998,"gva_prchange",-0.0361660452182262
"16","Manufacture of wood and of products of wood and cork, except furniture",1999,"gva_prchange",-0.000419279662481298
"16","Manufacture of wood and of products of wood and cork, except furniture",2000,"gva_prchange",0.00234612709901494
"16","Manufacture of wood and of products of wood and cork, except furniture",2001,"gva_prchange",0.0454919813156367
"16","Manufacture of wood and of products of wood and cork, except furniture",2002,"gva_prchange",0.0285361177901647
"16","Manufacture of wood and of products of wood and cork, except furniture",2003,"gva_prchange",0.0120161021253389
"16","Manufacture of wood and of products of wood and cork, except furniture",2004,"gva_prchange",0.0386827106805502
"16","Manufacture of wood and of products of wood and cork, except furniture",2005,"gva_prchange",0.0388427329869663
"16","Manufacture of wood and of products of wood and cork, except furniture",2006,"gva_prchange",0.0446389266930474
"16","Manufacture of wood and of products of wood and cork, except furniture",2007,"gva_prchange",0.0836311212600742
"16","Manufacture of wood and of products of wood and cork, except furniture",2008,"gva_prchange",0.0123084396028174
