"tech_field_citing","tech_field_cited","tech_name","p_year_citing","group","share_inv_cited","total_num","ctry_cited","type"
16,"1As","Electrical machinery, apparatus, energy",1993,"Asia",0.00870877352382048,114.826731601732,"Switzerland","forw"
16,"1Am","Electrical machinery, apparatus, energy",1997,"Americas",0.00482545547909167,207.234323129272,"Switzerland","forw"
16,"1Am","Electrical machinery, apparatus, energy",1998,"Americas",0.00363198108223318,275.331830579122,"Switzerland","forw"
16,"1Am","Electrical machinery, apparatus, energy",2010,"Americas",0.000850449206912663,603.814442226,"Switzerland","forw"
16,"1As","Electrical machinery, apparatus, energy",2010,"Asia",0.00165613792925098,603.814442226,"Switzerland","forw"
16,"1Eu","Electrical machinery, apparatus, energy",2013,"Europe",0.00154156210701976,648.692644588454,"Switzerland","forw"
16,"1Am","Electrical machinery, apparatus, energy",2014,"Americas",0.00201584359723794,496.070231524992,"Switzerland","forw"
16,"2Am","Audio-visual technology",1998,"Americas",0.00363198108223318,275.331830579122,"Switzerland","forw"
16,"2Am","Audio-visual technology",2003,"Americas",0.00133613618746628,748.426701844145,"Switzerland","forw"
16,"2Am","Audio-visual technology",2004,"Americas",0.00126653128745658,789.558070853647,"Switzerland","forw"
16,"4Am","Digital communication",1996,"Americas",0.00441088224430859,188.926678876679,"Switzerland","forw"
16,"4Eu","Digital communication",1996,"Europe",0.000882176448861718,188.926678876679,"Switzerland","forw"
16,"4Am","Digital communication",2000,"Americas",0.00245464123510742,407.391510293861,"Switzerland","forw"
16,"4As","Digital communication",2000,"Asia",0.00122732061755371,407.391510293861,"Switzerland","forw"
16,"4Am","Digital communication",2002,"Americas",0.00156739482767881,638.001339765118,"Switzerland","forw"
16,"4As","Digital communication",2007,"Asia",0.000800539069668872,624.579135415359,"Switzerland","forw"
16,"5As","Basic communication processes",2009,"Asia",0.00154020407794872,649.264610006633,"Switzerland","forw"
16,"6Am","Computer technology",1991,"Americas",0.113502147567343,44.0520299145299,"Switzerland","forw"
16,"6Am","Computer technology",1998,"Americas",0.0133172639681883,275.331830579122,"Switzerland","forw"
16,"6Am","Computer technology",2001,"Americas",0.00340691679116558,587.041046962512,"Switzerland","forw"
16,"6Am","Computer technology",2002,"Americas",0.00156739482767881,638.001339765118,"Switzerland","forw"
16,"6As","Computer technology",2002,"Asia",0.00156739482767881,638.001339765118,"Switzerland","forw"
16,"6Am","Computer technology",2003,"Americas",0.0080168171247977,748.426701844145,"Switzerland","forw"
16,"6Do","Computer technology",2003,"Domestic",0.000890757458310855,748.426701844145,"Switzerland","forw"
