"","ind.code","year","variable","value","ind.name","Industry"
"1","10-12",1997,"GVA percentage change",NA,"Food and tobacco products","Food and tobacco products
Indicator: GVA percentage change
Year: 1997
Value: NA%"
"2","10-12",2003,"GVA percentage change",-0.616695927270908,"Food and tobacco products","Food and tobacco products
Indicator: GVA percentage change
Year: 2003
Value: -0.62%"
"3","10-12",2015,"Share in GDP",1.79383837616798,"Food and tobacco products","Food and tobacco products
Indicator: Share in GDP
Year: 2015
Value: 1.79%"
"4","10-12",1998,"GVA percentage change",-4.26693950227911,"Food and tobacco products","Food and tobacco products
Indicator: GVA percentage change
Year: 1998
Value: -4.27%"
"5","10-12",2004,"GVA percentage change",0.487117725842039,"Food and tobacco products","Food and tobacco products
Indicator: GVA percentage change
Year: 2004
Value: 0.49%"
"6","10-12",2016,"Share in GDP",1.86675493623406,"Food and tobacco products","Food and tobacco products
Indicator: Share in GDP
Year: 2016
Value: 1.87%"
"7","10-12",1997,"GVA in millions CHF",8509.04425413089,"Food and tobacco products","Food and tobacco products
Indicator: GVA in millions CHF
Year: 1997
Value: 8509.04 million CHF"
"8","10-12",2016,"GVA in millions CHF",12416.6346250219,"Food and tobacco products","Food and tobacco products
Indicator: GVA in millions CHF
Year: 2016
Value: 12416.63 million CHF"
"9","10-12",2008,"GVA percentage change",7.60695643068297,"Food and tobacco products","Food and tobacco products
Indicator: GVA percentage change
Year: 2008
Value: 7.61%"
"10","10-12",2007,"GVA percentage change",2.49476013372021,"Food and tobacco products","Food and tobacco products
Indicator: GVA percentage change
Year: 2007
Value: 2.49%"
"11","10-12",2013,"GVA percentage change",-0.224854835055245,"Food and tobacco products","Food and tobacco products
Indicator: GVA percentage change
Year: 2013
Value: -0.22%"
"12","10-12",2009,"GVA percentage change",0.121191131321996,"Food and tobacco products","Food and tobacco products
Indicator: GVA percentage change
Year: 2009
Value: 0.12%"
"13","10-12",2017,"GVA in millions CHF",12876.5362954678,"Food and tobacco products","Food and tobacco products
Indicator: GVA in millions CHF
Year: 2017
Value: 12876.54 million CHF"
"14","10-12",2004,"GVA in millions CHF",9192.00859405971,"Food and tobacco products","Food and tobacco products
Indicator: GVA in millions CHF
Year: 2004
Value: 9192.01 million CHF"
"15","10-12",2018,"GVA in millions CHF",12023.3291642961,"Food and tobacco products","Food and tobacco products
Indicator: GVA in millions CHF
Year: 2018
Value: 12023.33 million CHF"
"16","10-12",2014,"GVA percentage change",-2.13425583747727,"Food and tobacco products","Food and tobacco products
Indicator: GVA percentage change
Year: 2014
Value: -2.13%"
"17","10-12",2002,"GVA percentage change",6.32402778195921,"Food and tobacco products","Food and tobacco products
Indicator: GVA percentage change
Year: 2002
Value: 6.32%"
"18","10-12",2014,"Share in GDP",1.84192295319548,"Food and tobacco products","Food and tobacco products
Indicator: Share in GDP
Year: 2014
Value: 1.84%"
"19","10-12",2019,"GVA percentage change",2.32721769573911,"Food and tobacco products","Food and tobacco products
Indicator: GVA percentage change
Year: 2019
Value: 2.33%"
"20","10-12",2009,"GVA in millions CHF",10716.6561402724,"Food and tobacco products","Food and tobacco products
Indicator: GVA in millions CHF
Year: 2009
Value: 10716.66 million CHF"
"21","10-12",2010,"GVA in millions CHF",11231.1495579513,"Food and tobacco products","Food and tobacco products
Indicator: GVA in millions CHF
Year: 2010
Value: 11231.15 million CHF"
"22","10-12",2017,"Share in GDP",1.91404129069579,"Food and tobacco products","Food and tobacco products
Indicator: Share in GDP
Year: 2017
Value: 1.91%"
