"","p_year","tech_field","tech_name","Continent","Region","Country","geo","geo_level","indicator","share_inv","rank_2000","Geo","Rank based on year 2000"
"1",1991,"16","Pharmaceuticals","Africa",NA,NA,"Africa","conti","Absolute numbers",3.03571428571429,5,"Africa
Indicator: Absolute numbers
Year: 1991
Value: 3",5
"2",1992,"16","Pharmaceuticals","Africa",NA,NA,"Africa","conti","Absolute numbers",5.4,5,"Africa
Indicator: Absolute numbers
Year: 1992
Value: 5",5
"3",1993,"16","Pharmaceuticals","Africa",NA,NA,"Africa","conti","Absolute numbers",3.16666666666667,5,"Africa
Indicator: Absolute numbers
Year: 1993
Value: 3",5
"4",1994,"16","Pharmaceuticals","Africa",NA,NA,"Africa","conti","Absolute numbers",2.35238095238095,5,"Africa
Indicator: Absolute numbers
Year: 1994
Value: 2",5
"5",1995,"16","Pharmaceuticals","Africa",NA,NA,"Africa","conti","Absolute numbers",6,5,"Africa
Indicator: Absolute numbers
Year: 1995
Value: 6",5
"6",1996,"16","Pharmaceuticals","Africa",NA,NA,"Africa","conti","Absolute numbers",7.875,5,"Africa
Indicator: Absolute numbers
Year: 1996
Value: 8",5
"7",1997,"16","Pharmaceuticals","Africa",NA,NA,"Africa","conti","Absolute numbers",5.73076923076923,5,"Africa
Indicator: Absolute numbers
Year: 1997
Value: 6",5
"8",1998,"16","Pharmaceuticals","Africa",NA,NA,"Africa","conti","Absolute numbers",4.4,5,"Africa
Indicator: Absolute numbers
Year: 1998
Value: 4",5
"9",1999,"16","Pharmaceuticals","Africa",NA,NA,"Africa","conti","Absolute numbers",6.33333333333333,5,"Africa
Indicator: Absolute numbers
Year: 1999
Value: 6",5
"10",2000,"16","Pharmaceuticals","Africa",NA,NA,"Africa","conti","Absolute numbers",4.03333333333333,5,"Africa
Indicator: Absolute numbers
Year: 2000
Value: 4",5
"11",2001,"16","Pharmaceuticals","Africa",NA,NA,"Africa","conti","Absolute numbers",5.96666666666667,5,"Africa
Indicator: Absolute numbers
Year: 2001
Value: 6",5
"12",2002,"16","Pharmaceuticals","Africa",NA,NA,"Africa","conti","Absolute numbers",6.3533411033411,5,"Africa
Indicator: Absolute numbers
Year: 2002
Value: 6",5
"13",2003,"16","Pharmaceuticals","Africa",NA,NA,"Africa","conti","Absolute numbers",4.38333333333333,5,"Africa
Indicator: Absolute numbers
Year: 2003
Value: 4",5
"14",2004,"16","Pharmaceuticals","Africa",NA,NA,"Africa","conti","Absolute numbers",2.49716117216117,5,"Africa
Indicator: Absolute numbers
Year: 2004
Value: 2",5
"15",2005,"16","Pharmaceuticals","Africa",NA,NA,"Africa","conti","Absolute numbers",12.9527777777778,5,"Africa
Indicator: Absolute numbers
Year: 2005
Value: 13",5
"16",2006,"16","Pharmaceuticals","Africa",NA,NA,"Africa","conti","Absolute numbers",1.5,5,"Africa
Indicator: Absolute numbers
Year: 2006
Value: 2",5
"17",2007,"16","Pharmaceuticals","Africa",NA,NA,"Africa","conti","Absolute numbers",7.53333333333333,5,"Africa
Indicator: Absolute numbers
Year: 2007
Value: 8",5
"18",2008,"16","Pharmaceuticals","Africa",NA,NA,"Africa","conti","Absolute numbers",7.25,5,"Africa
Indicator: Absolute numbers
Year: 2008
Value: 7",5
"19",2009,"16","Pharmaceuticals","Africa",NA,NA,"Africa","conti","Absolute numbers",0.80952380952381,5,"Africa
Indicator: Absolute numbers
Year: 2009
Value: 1",5
"20",2010,"16","Pharmaceuticals","Africa",NA,NA,"Africa","conti","Absolute numbers",8.98333333333333,5,"Africa
Indicator: Absolute numbers
Year: 2010
Value: 9",5
"21",2011,"16","Pharmaceuticals","Africa",NA,NA,"Africa","conti","Absolute numbers",2.65833333333333,5,"Africa
Indicator: Absolute numbers
Year: 2011
Value: 3",5
"22",2012,"16","Pharmaceuticals","Africa",NA,NA,"Africa","conti","Absolute numbers",2.875,5,"Africa
Indicator: Absolute numbers
Year: 2012
Value: 3",5
"23",2013,"16","Pharmaceuticals","Africa",NA,NA,"Africa","conti","Absolute numbers",4.84444444444444,5,"Africa
Indicator: Absolute numbers
Year: 2013
Value: 5",5
"24",2014,"16","Pharmaceuticals","Africa",NA,NA,"Africa","conti","Absolute numbers",2.41666666666667,5,"Africa
Indicator: Absolute numbers
Year: 2014
Value: 2",5
"25",2015,"16","Pharmaceuticals","Africa",NA,NA,"Africa","conti","Absolute numbers",3.5,5,"Africa
Indicator: Absolute numbers
Year: 2015
Value: 4",5
"26",1990,"16","Pharmaceuticals","Americas",NA,NA,"Americas","conti","Absolute numbers",1112.27175324675,1,"Americas
Indicator: Absolute numbers
Year: 1990
Value: 1112",1
"27",1991,"16","Pharmaceuticals","Americas",NA,NA,"Americas","conti","Absolute numbers",1251.55912698413,1,"Americas
Indicator: Absolute numbers
Year: 1991
Value: 1252",1
"28",1992,"16","Pharmaceuticals","Americas",NA,NA,"Americas","conti","Absolute numbers",1527.43650793651,1,"Americas
Indicator: Absolute numbers
Year: 1992
Value: 1527",1
